Set Power (dBm),Pick-off power (dBm)
-40,-32.05
-35,-26.98
-30,-21.92
-27,-18.55
-25,-16.5
-20,-11.56
-19,-10.43
-18,-9.52
-17,-8.55
-16,-7.53
-15,-6.51
-14,-5.53
-13,-4.53
-12,-3.57
-11,-2.6
-10,-1.66
-9,-0.58
-8,0.42
-7,1.4
-6,2.39
-5,3.33
